time,G(i),H_sun,T2m,WS10m,Int
20150705:1407,211.37,24.4,23.8,3.1,0
20150705:1507,69.3,10.76,21.93,2.48,0
20150705:1607,0,0,19.95,1.72,0
20150705:1707,0,0,18.93,0.34,0
20150705:1807,0,0,18.4,0.41,0
20150705:1907,0,0,18.14,0.34,0
20150705:2007,0,0,17.11,0.9,0
20150705:2107,0,0,16.58,0.97,0
20150705:2207,0,0,16.96,0.83,0
20150705:2307,0,0,16.51,0.9,0
20150706:0007,0,0,16.92,0.62,0
20150706:0107,0,0,17.1,0.48,0
20150706:0207,0,0,16.8,0.83,0
20150706:0307,0,0,16.23,0.9,0
20150706:0407,143.82,14.15,16.32,0.76,0
20150706:0507,365.87,27.85,18.65,1.31,0
20150706:0607,576.44,41.66,20.84,3.24,0
20150706:0707,749.4,55.47,22.9,3.59,0
20150706:0807,859.45,69,24.4,3.93,0
20150706:0907,911.51,80.57,25.4,4.21,0
20150706:1007,889.86,78.22,26.13,4.21,0
20150706:1107,781.42,65.7,26.54,4.07,0
20150706:1207,623.87,52.05,26.49,3.93,0
20150706:1307,415.15,38.23,26.49,3.93,0
20150706:1407,214.38,24.43,24.76,2.9,0
20150706:1507,24.68,10.77,23.37,1.52,0
20150706:1607,0,0,21.67,2,0
20150706:1707,0,0,20.23,1.38,0
20150706:1807,0,0,19.05,0.69,0
20150706:1907,0,0,19.61,0.28,0
20150706:2007,0,0,18.34,0.97,0
20150706:2107,0,0,16.67,1.24,0
20150706:2207,0,0,15.94,1.31,0
20150706:2307,0,0,15.3,1.38,0
20150707:0007,0,0,14.7,1.45,0
20150707:0107,0,0,14.23,1.45,0
20150707:0207,0,0,13.96,1.45,0
20150707:0307,0,0,13.69,1.45,0
20150707:0407,30.14,14.09,15.08,1.03,0
20150707:0507,338.54,27.8,19.53,0.41,0
20150707:0607,414.35,41.62,22.58,0.83,0
20150707:0707,677.37,55.45,24.93,2.41,0
20150707:0807,851.99,69,26.41,3.45,0
20150707:0907,863.49,80.63,27.46,3.86,0
20150707:1007,844.29,78.31,28.11,3.86,0
20150707:1107,776.41,65.76,28.51,3.79,0
20150707:1207,609.94,52.1,28.59,3.79,0
20150707:1307,80.69,38.26,28,3.59,0
20150707:1407,29.16,24.45,26.71,2.83,0
20150707:1507,13.29,10.79,25.23,1.52,0
20150707:1607,0,0,23.9,1.38,0
20150707:1707,0,0,22.36,1.24,0
20150707:1807,0,0,21.73,0.76,0
20150707:1907,0,0,21.86,0.76,0
20150707:2007,0,0,21.19,0.28,0
20150707:2107,0,0,19.84,1.1,0
20150707:2207,0,0,17.53,1.38,0
20150707:2307,0,0,16.23,1.52,0
20150708:0007,0,0,15.36,1.52,0
20150708:0107,0,0,14.78,1.59,0
20150708:0207,0,0,14.3,1.59,0
20150708:0307,0,0,13.88,1.59,0
20150708:0407,135.29,14.03,14.97,1.24,0
20150708:0507,365.85,27.75,20.11,0.69,0
20150708:0607,571.64,41.59,23.64,0.34,0
20150708:0707,749.66,55.42,26.19,2.21,0
20150708:0807,864.74,69,27.63,3.1,0
20150708:0907,905.27,80.7,28.53,3.45,0
20150708:1007,856.54,78.41,28.07,3.24,0
20150708:1107,179.85,65.83,27.93,3.24,0
20150708:1207,488.01,52.14,28.49,3.38,0
20150708:1307,383.66,38.29,26.71,3.17,0
20150708:1407,29.16,24.48,24.47,2.76,0
20150708:1507,64.56,10.8,23.8,1.59,0
20150708:1607,0,0,22.98,1.03,0
20150708:1707,0,0,21.9,0.62,0
20150708:1807,0,0,22,0.14,0
20150708:1907,0,0,22.28,0.14,0
20150708:2007,0,0,21.72,0.48,0
20150708:2107,0,0,21.06,0.9,0
20150708:2207,0,0,18.75,1.24,0
20150708:2307,0,0,17.25,1.38,0
20150709:0007,0,0,16.21,1.45,0
20150709:0107,0,0,15.66,1.38,0
20150709:0207,0,0,15.16,1.38,0
20150709:0307,0,0,14.67,1.45,0
20150709:0407,128.68,13.98,15.65,1.24,0
20150709:0507,213.95,27.71,20.61,0.62,0
20150709:0607,537.15,41.55,24.03,0.76,0
20150709:0707,731.92,55.4,25.97,2.97,0
20150709:0807,853.28,69,26.96,3.45,0
20150709:0907,893.59,80.77,27.57,3.66,0
20150709:1007,877.75,78.51,28.53,3.72,0
20150709:1107,108.88,65.89,29,3.72,0
20150709:1207,279.86,52.19,28.67,3.59,0
20150709:1307,274.9,38.33,27.41,3.31,0
20150709:1407,29.16,24.5,26.36,2.69,0
20150709:1507,64.56,10.81,25.16,0.83,0
20150709:1607,0,0,24.2,0.41,0
20150709:1707,0,0,23.61,0.34,0
20150709:1807,0,0,23.03,0.62,0
20150709:1907,0,0,22.73,0.48,0
20150709:2007,0,0,22.16,0.41,0
20150709:2107,0,0,21.5,0.9,0
20150709:2207,0,0,19.66,1.17,0
20150709:2307,0,0,18.57,1.24,0
20150710:0007,0,0,17.59,1.31,0
20150710:0107,0,0,16.93,1.31,0
20150710:0207,0,0,16.22,1.45,0
20150710:0307,0,0,15.49,1.59,0
20150710:0407,130.17,13.92,16.3,1.24,0
20150710:0507,356.85,27.66,21.01,0.69,0
20150710:0607,392.6,41.52,24.23,0.69,0
20150710:0707,628.54,55.38,26.16,2.28,0
20150710:0807,825.27,69,26.77,2.97,0
20150710:0907,800.94,80.85,27.73,3.66,0
20150710:1007,898.06,78.61,27.92,3.72,0
20150710:1107,785.89,65.95,28.69,3.66,0
20150710:1207,629.04,52.23,25.35,2.48,0
20150710:1307,48.61,38.36,25.5,2.34,0
20150710:1407,208.91,24.52,23.98,1.86,0
20150710:1507,34.18,10.82,23.59,0.55,0
20150710:1607,0,0,23.05,0.62,0
20150710:1707,0,0,21.46,0.9,0
20150710:1807,0,0,21.5,0.69,0
20150710:1907,0,0,21.57,0.69,0
20150710:2007,0,0,21.02,0.55,0
20150710:2107,0,0,20.54,0.55,0
20150710:2207,0,0,20.12,0.69,0
20150710:2307,0,0,19.65,0.76,0
20150711:0007,0,0,18.88,0.97,0
20150711:0107,0,0,17.16,1.17,0
20150711:0207,0,0,16.21,1.31,0
20150711:0307,0,0,15.48,1.45,0
20150711:0407,22.36,13.87,16.02,1.24,0
20150711:0507,34.02,27.61,20.47,0.69,0
20150711:0607,229.25,41.48,23.42,0.9,0
20150711:0707,744.13,55.36,25.44,2.62,0
20150711:0807,862.84,69.01,26.94,3.59,0
20150711:0907,916.96,80.93,28.01,3.79,0
20150711:1007,895.33,78.72,28.53,4,0
20150711:1107,787.49,66.01,28.59,4.07,0
20150711:1207,619.15,52.27,28.7,4.14,0
20150711:1307,389.12,38.39,28.34,3.66,0
20150711:1407,44.72,24.54,27.36,3.52,0
20150711:1507,21.83,10.83,24.89,3.24,0
20150711:1607,0,0,22.9,1.31,0
20150711:1707,0,0,21.35,1.45,0
20150711:1807,0,0,20.56,1.24,0
20150711:1907,0,0,21.27,0.9,0
20150711:2007,0,0,21.38,0.69,0
20150711:2107,0,0,20.82,0.83,0
20150711:2207,0,0,19.68,1.03,0
20150711:2307,0,0,18.38,1.17,0
20150712:0007,0,0,17.94,1.1,0
20150712:0107,0,0,18.05,1.03,0
20150712:0207,0,0,17.81,1.03,0
20150712:0307,0,0,17.83,0.97,0
20150712:0407,111.34,13.81,18.78,0.69,0
20150712:0507,352.61,27.57,20.61,0.28,0
20150712:0607,517.59,41.45,23.98,2.34,0
20150712:0707,737.27,55.34,26.07,3.31,0
20150712:0807,859.54,69.01,27.51,4.14,0
20150712:0907,789.71,81.01,28.57,4.55,0
20150712:1007,359.08,78.82,29.06,4.69,0
20150712:1107,141.93,66.07,28.6,4.55,0
20150712:1207,230.4,52.31,26.73,4.41,0
20150712:1307,348.66,38.41,23.07,2.97,0
20150712:1407,103.05,24.55,22.59,1.79,0
20150712:1507,66.45,10.83,22.18,0.9,0
20150712:1607,0,0,21.08,0.55,0
20150712:1707,0,0,20.46,0.69,0
20150712:1807,0,0,19.84,0.97,0
20150712:1907,0,0,20.66,1.1,0
20150712:2007,0,0,20.3,0.83,0
20150712:2107,0,0,19.09,1.17,0
20150712:2207,0,0,18.78,1.24,0
20150712:2307,0,0,18.55,1.03,0
20150713:0007,0,0,18.98,0.69,0
20150713:0107,0,0,19.34,0.48,0
20150713:0207,0,0,19.32,0.55,0
20150713:0307,0,0,18.69,0.76,0
20150713:0407,13.61,13.76,18.85,0.48,0
20150713:0507,215.08,27.53,20.01,0.76,0
20150713:0607,453.24,41.42,21.64,1.52,0
20150713:0707,383.76,55.33,23.41,2.76,0
20150713:0807,577.63,69.03,24.66,3.79,0
20150713:0907,610.24,81.1,25.34,4.34,0
20150713:1007,676.77,78.93,25.37,4.48,0
20150713:1107,781.02,66.13,25.55,4.83,0
20150713:1207,545.31,52.35,25.09,4.76,0
20150713:1307,412.32,38.44,24.67,3.86,0
20150713:1407,219.18,24.56,22.34,2.34,0
20150713:1507,62.66,10.83,21.63,1.93,0
20150713:1607,0,0,20.1,2.07,0
20150713:1707,0,0,19.02,1.03,0
20150713:1807,0,0,18.65,0.41,0
20150713:1907,0,0,18.34,0.69,0
20150713:2007,0,0,18.19,0.69,0
20150713:2107,0,0,17.76,0.76,0
20150713:2207,0,0,17.39,0.76,0
20150713:2307,0,0,17.15,0.69,0
20150714:0007,0,0,16.69,0.83,0
20150714:0107,0,0,15.68,0.97,0
20150714:0207,0,0,15.55,1.17,0
20150714:0307,0,0,15.25,1.38,0
20150714:0407,13.61,13.7,15.5,1.24,0
20150714:0507,217.94,27.48,17.53,0.97,0
20150714:0607,476.34,41.39,20.55,0.62,0
20150714:0707,734.47,55.31,23.19,1.45,0
20150714:0807,869.4,69.04,25.01,2.62,0
20150714:0907,890.59,81.2,26.21,3.31,0
20150714:1007,733.7,79.04,26.98,3.52,0
20150714:1107,649.39,66.19,27.47,3.86,0
20150714:1207,426.74,52.39,26.5,3.45,0
20150714:1307,48.61,38.46,26.13,2.9,0
20150714:1407,29.16,24.57,25.25,2.41,0
20150714:1507,22.78,10.83,24.17,0.9,0
20150714:1607,0,0,22.23,1.24,0
20150714:1707,0,0,20.87,1.03,0
20150714:1807,0,0,19.68,0.76,0
20150714:1907,0,0,18.69,0.83,0
20150714:2007,0,0,17.51,1.1,0
20150714:2107,0,0,16.57,1.24,0
20150714:2207,0,0,16.35,0.97,0
20150714:2307,0,0,16.51,0.69,0
20150715:0007,0,0,17.27,0.69,0
20150715:0107,0,0,17.4,0.76,0
20150715:0207,0,0,16.67,0.83,0
20150715:0307,0,0,15.77,0.9,0
20150715:0407,20.41,13.65,15.86,0.76,0
20150715:0507,285.13,27.44,19.34,0.28,0
20150715:0607,561.23,41.36,21.82,1.45,0
20150715:0707,676.25,55.3,23.3,2.34,0
20150715:0807,504.18,69.05,24.68,2.97,0
20150715:0907,904.95,81.3,25.84,3.03,0
20150715:1007,588.1,79.15,26.64,3.31,0
20150715:1107,710.98,66.25,27.2,3.72,0
20150715:1207,594.03,52.42,27.1,4.14,0
20150715:1307,398.31,38.48,25.77,3.45,0
20150715:1407,29.16,24.58,23.68,2.83,0
20150715:1507,56.96,10.82,22.55,1.79,0
20150715:1607,0,0,20.63,2,0
20150715:1707,0,0,19.36,1.38,0
20150715:1807,0,0,18.73,0.69,0
20150715:1907,0,0,18.78,0.83,0
20150715:2007,0,0,18.52,0.76,0
20150715:2107,0,0,16.74,1.1,0
20150715:2207,0,0,16.67,1.03,0
20150715:2307,0,0,16.93,0.69,0
20150716:0007,0,0,16.76,0.55,0
20150716:0107,0,0,16.7,0.55,0
20150716:0207,0,0,16.71,0.62,0
20150716:0307,0,0,16.72,0.62,0
20150716:0407,132.37,13.59,16.79,0.48,0
20150716:0507,348.63,27.4,19.03,0.28,0
20150716:0607,550.61,41.33,21.27,1.86,0
20150716:0707,599.3,55.29,23.46,3.17,0
20150716:0807,800.98,69.07,24.85,3.59,0
20150716:0907,910.71,81.4,25.8,3.79,0
20150716:1007,798.96,79.27,26.5,4.07,0
20150716:1107,711.6,66.3,26.84,4.41,0
20150716:1207,515.89,52.46,26.84,4.62,0
20150716:1307,48.61,38.49,24.26,3.45,0
20150716:1407,35,24.58,23.9,2.83,0
20150716:1507,16.14,10.81,22.92,2.55,0
20150716:1607,0,0,21.67,1.72,0
20150716:1707,0,0,20.52,1.24,0
20150716:1807,0,0,19.2,1.1,0
20150716:1907,0,0,18.91,0.62,0
20150716:2007,0,0,18.81,0.48,0
20150716:2107,0,0,18.49,0.28,0
20150716:2207,0,0,18.14,0.21,0
20150716:2307,0,0,17.74,0.55,0
20150717:0007,0,0,17.49,0.69,0
20150717:0107,0,0,17.17,0.76,0
20150717:0207,0,0,16.99,0.62,0
20150717:0307,0,0,16.9,0.55,0
20150717:0407,77.12,13.54,16.93,0.62,0
20150717:0507,357.63,27.36,19.15,0.34,0
20150717:0607,492.17,41.31,21.61,1.59,0
20150717:0707,592.42,55.28,23.63,3.1,0
20150717:0807,818.74,69.09,25,3.93,0
20150717:0907,855.45,81.51,26.04,4.34,0
20150717:1007,832.74,79.38,26.55,4.41,0
20150717:1107,762.64,66.36,26.59,4.55,0
20150717:1207,635.79,52.49,26.89,4.28,0
20150717:1307,439.99,38.51,26.69,3.79,0
20150717:1407,68.05,24.58,25.78,3.1,0
20150717:1507,20.89,10.8,24.85,2.34,0
20150717:1607,0,0,23.46,1.79,0
20150717:1707,0,0,22.03,1.03,0
20150717:1807,0,0,22.07,0.55,0
20150717:1907,0,0,20.4,0.41,0
20150717:2007,0,0,20.14,0.14,0
20150717:2107,0,0,19.86,0.55,0
20150717:2207,0,0,19.32,0.9,0
20150717:2307,0,0,18.8,0.9,0
20150718:0007,0,0,18.28,0.9,0
20150718:0107,0,0,17.26,1.03,0
20150718:0207,0,0,16.48,1.17,0
20150718:0307,0,0,16.49,1.1,0
20150718:0407,92.55,13.49,17.22,0.9,0
20150718:0507,347.1,27.32,19.71,0.21,0
20150718:0607,562.55,41.28,23.02,1.59,0
20150718:0707,748.96,55.27,25.51,2.97,0
20150718:0807,865.79,69.11,27.02,4.21,0
20150718:0907,917.4,81.62,28.16,4.62,0
20150718:1007,813.7,79.49,28.98,4.76,0
20150718:1107,800.5,66.41,29.49,4.34,0
20150718:1207,640.99,52.52,29.54,4,0
20150718:1307,428.31,38.52,28.74,3.66,0
20150718:1407,222.05,24.58,28.44,3.24,0
20150718:1507,70.25,10.78,27.54,2.48,0
20150718:1607,0,0,25.96,1.52,0
20150718:1707,0,0,24.19,1.03,0
20150718:1807,0,0,24.71,0.55,0
20150718:1907,0,0,23.76,0.48,0
20150718:2007,0,0,23.18,0.55,0
20150718:2107,0,0,22.74,0.62,0
20150718:2207,0,0,22.27,0.34,0
20150718:2307,0,0,21.71,0.07,0
20150719:0007,0,0,21.06,0.41,0
20150719:0107,0,0,20.52,0.48,0
20150719:0207,0,0,20.25,0.34,0
20150719:0307,0,0,20.05,0.55,0
20150719:0407,78.96,13.44,19.49,1.1,0
20150719:0507,173.57,27.28,20.74,1.79,0
20150719:0607,519.63,41.26,23.13,3.24,0
20150719:0707,720.47,55.27,24.58,4.41,0
20150719:0807,825.67,69.13,25.99,4.97,0
20150719:0907,880.02,81.73,27.21,5.1,0
20150719:1007,875.36,79.61,28.13,5.03,0
20150719:1107,792.31,66.46,28.69,4.76,0
20150719:1207,624.3,52.54,29.13,4.62,0
20150719:1307,350.17,38.53,28.58,4.28,0
20150719:1407,29.16,24.57,27.8,3.59,0
20150719:1507,9.49,10.76,27.12,3.03,0
20150719:1607,0,0,25.44,1.79,0
20150719:1707,0,0,23.65,1.38,0
20150719:1807,0,0,22.35,1.17,0
20150719:1907,0,0,21.94,1.17,0
20150719:2007,0,0,22.12,1.03,0
20150719:2107,0,0,20.63,1.31,0
20150719:2207,0,0,18.64,1.72,0
20150719:2307,0,0,18.6,1.31,0
20150720:0007,0,0,19.49,0.9,0
20150720:0107,0,0,19.05,0.76,0
20150720:0207,0,0,18.72,0.69,0
20150720:0307,0,0,18.37,0.55,0
20150720:0407,139.3,13.39,18.21,0.62,0
20150720:0507,313.63,27.25,19.72,1.03,0
20150720:0607,578.18,41.24,22.01,2.55,0
20150720:0707,739.65,55.26,23.99,3.72,0
20150720:0807,800.74,69.16,25.4,4.28,0
20150720:0907,833.43,81.85,26.09,4.48,0
20150720:1007,868.06,79.72,26.93,4.48,0
20150720:1107,767.05,66.51,27.35,4.55,0
20150720:1207,639.24,52.57,27.15,4.28,0
20150720:1307,326.34,38.54,26.59,4.14,0
20150720:1407,223.47,24.57,23.79,2.62,0
20150720:1507,68.35,10.74,23.36,1.93,0
20150720:1607,0,0,21.7,2,0
20150720:1707,0,0,20.33,1.86,0
20150720:1807,0,0,19.48,1.52,0
20150720:1907,0,0,19.04,0.62,0
20150720:2007,0,0,18.91,0.69,0
20150720:2107,0,0,18.59,0.9,0
20150720:2207,0,0,18.95,0.55,0
20150720:2307,0,0,18.57,0.28,0
20150721:0007,0,0,18.22,0.21,0
20150721:0107,0,0,17.92,0.41,0
20150721:0207,0,0,17.57,0.69,0
20150721:0307,0,0,16.8,0.9,0
20150721:0407,13.61,13.34,16.78,0.76,0
20150721:0507,373.91,27.21,19.4,0.14,0
20150721:0607,590.49,41.22,21.77,1.38,0
20150721:0707,766.54,55.26,24.19,2.69,0
20150721:0807,882.39,69.19,25.85,3.52,0
20150721:0907,843.4,81.97,26.94,4.14,0
20150721:1007,821.75,79.83,27.65,4.48,0
20150721:1107,738.06,66.56,26.7,4.34,0
20150721:1207,623.88,52.59,23.77,4.14,0
20150721:1307,377.89,38.54,23.29,2.97,0
20150721:1407,207.33,24.56,23.73,3.66,0
20150721:1507,9.49,10.71,22.78,2.48,0
20150721:1607,0,0,21.46,0.9,0
20150721:1707,0,0,20.17,1.31,0
20150721:1807,0,0,19.46,1.03,0
20150721:1907,0,0,17.84,1.72,0
20150721:2007,0,0,17.48,1.03,0
20150721:2107,0,0,17.05,0.62,0
20150721:2207,0,0,16.44,1.31,0
20150721:2307,0,0,16.2,1.66,0
20150722:0007,0,0,15.71,1.59,0
20150722:0107,0,0,15.34,1.38,0
20150722:0207,0,0,15.29,1.38,0
20150722:0307,0,0,14.95,1.38,0
20150722:0407,139.82,13.29,15.07,1.45,0
20150722:0507,372.09,27.18,17.14,1.17,0
20150722:0607,590.51,41.2,20.39,0.07,0
20150722:0707,775.42,55.26,22.96,2.21,0
20150722:0807,896.99,69.22,24.61,2.76,0
20150722:0907,940.32,82.09,25.93,3.1,0
20150722:1007,895.96,79.94,26.8,3.31,0
20150722:1107,793.69,66.6,26.98,3.59,0
20150722:1207,620.25,52.6,26.61,3.72,0
20150722:1307,394.94,38.54,26.35,4.14,0
20150722:1407,29.16,24.54,25.59,4.21,0
20150722:1507,18.99,10.68,24.65,2.97,0
20150722:1607,0,0,23.52,1.59,0
20150722:1707,0,0,22.06,1.17,0
20150722:1807,0,0,20.95,1.59,0
20150722:1907,0,0,18.82,1.17,0
20150722:2007,0,0,18.34,0.69,0
20150722:2107,0,0,17.37,0.97,0
20150722:2207,0,0,16.84,0.97,0
20150722:2307,0,0,16.16,0.97,0
20150723:0007,0,0,15.5,1.03,0
20150723:0107,0,0,14.35,0.97,0
20150723:0207,0,0,14.01,0.83,0
20150723:0307,0,0,13.84,0.83,0
20150723:0407,147.08,13.24,14.59,0.69,0
20150723:0507,376.46,27.14,18.22,0.28,0
20150723:0607,591.55,41.18,20.64,1.86,0
20150723:0707,754.01,55.26,22.62,2.9,0
20150723:0807,812.97,69.25,24.13,3.1,0
20150723:0907,800.32,82.22,25.36,3.24,0
20150723:1007,889.68,80.05,26.33,3.38,0
20150723:1107,634.74,66.64,26.82,3.79,0
20150723:1207,232.34,52.62,25.6,3.79,0
20150723:1307,93.33,38.54,23.89,2.62,0
20150723:1407,128.24,24.52,23.41,1.93,0
20150723:1507,40.82,10.65,23.44,1.66,0
20150723:1607,0,0,22.59,1.03,0
20150723:1707,0,0,21.32,0.97,0
20150723:1807,0,0,19.9,1.17,0
20150723:1907,0,0,19.53,0.28,0
20150723:2007,0,0,19.17,0.28,0
20150723:2107,0,0,18.77,0.48,0
20150723:2207,0,0,18.42,0.55,0
20150723:2307,0,0,18.18,0.41,0
20150724:0007,0,0,17.22,0.97,0
20150724:0107,0,0,15.65,1.52,0
20150724:0207,0,0,15.56,1.93,0
20150724:0307,0,0,15.52,1.38,0
20150724:0407,105.44,13.19,16.62,0.83,0
20150724:0507,362.43,27.11,17.93,1.17,0
20150724:0607,448.88,41.16,19.62,2.55,0
20150724:0707,588.14,55.26,20.88,2.62,0
20150724:0807,544.25,69.28,22.2,2.69,0
20150724:0907,678.45,82.34,23.25,2.9,0
20150724:1007,765.99,80.16,24.59,3.1,0
20150724:1107,724.32,66.68,24.89,3.52,0
20150724:1207,99.16,52.63,25.22,3.52,0
20150724:1307,302.64,38.54,23.32,2.69,0
20150724:1407,164.43,24.5,22.99,1.59,0
20150724:1507,69.3,10.62,22.01,0.76,0
20150724:1607,0,0,21.15,0.69,0
20150724:1707,0,0,20.17,0.69,0
20150724:1807,0,0,19.48,0.62,0
20150724:1907,0,0,17.87,0.34,0
20150724:2007,0,0,16.82,1.38,0
20150724:2107,0,0,16.47,1.45,0
20150724:2207,0,0,16.65,1.03,0
20150724:2307,0,0,17.03,0.76,0
20150725:0007,0,0,17.13,0.69,0
20150725:0107,0,0,17.19,0.97,0
20150725:0207,0,0,17.13,0.76,0
20150725:0307,0,0,16.95,1.03,0
20150725:0407,92.91,13.14,17.15,1.17,0
20150725:0507,346.17,27.08,18.7,1.31,0
20150725:0607,564.11,41.15,21.01,1.03,0
20150725:0707,749.24,55.26,23.24,0.69,0
20150725:0807,876.26,69.31,25.42,1.24,0
20150725:0907,941.87,82.47,26.9,2.21,0
20150725:1007,921.8,80.27,27.62,2.97,0
20150725:1107,808.18,66.72,27.01,3.31,0
20150725:1207,659.12,52.64,25.68,3.24,0
20150725:1307,65.13,38.53,26.17,2.69,0
20150725:1407,222.82,24.48,26.27,2.48,0
20150725:1507,65.5,10.58,25.01,2.55,0
20150725:1607,0,0,23.56,1.79,0
20150725:1707,0,0,22.16,1.52,0
20150725:1807,0,0,20.38,1.17,0
20150725:1907,0,0,19.79,1.1,0
20150725:2007,0,0,19.31,1.1,0
20150725:2107,0,0,19.57,0.9,0
20150725:2207,0,0,19.62,0.55,0
20150725:2307,0,0,19.15,0.21,0
20150726:0007,0,0,18.69,0.34,0
20150726:0107,0,0,18.17,0.76,0
20150726:0207,0,0,17.03,1.03,0
20150726:0307,0,0,16.21,1.03,0
20150726:0407,118.02,13.1,15.78,0.9,0
20150726:0507,336.83,27.05,19.47,0.41,0
20150726:0607,550.43,41.13,22.15,0.97,0
20150726:0707,738.79,55.27,24.17,2,0
20150726:0807,868.93,69.34,25.85,3.03,0
20150726:0907,908.14,82.6,27,3.66,0
20150726:1007,878,80.37,27.68,4,0
20150726:1107,806.82,66.75,28.14,4.07,0
20150726:1207,625.64,52.65,28.13,4.28,0
20150726:1307,407,38.51,27.08,3.79,0
20150726:1407,57.36,24.45,26.62,3.31,0
20150726:1507,31.33,10.53,25.69,2.21,0
20150726:1607,0,0,24.48,1.52,0
20150726:1707,0,0,22.78,1.1,0
20150726:1807,0,0,22.94,0.62,0
20150726:1907,0,0,22.14,0.69,0
20150726:2007,0,0,21.68,0.55,0
20150726:2107,0,0,21.36,0.34,0
20150726:2207,0,0,21.03,0.14,0
20150726:2307,0,0,20.7,0.21,0
20150727:0007,0,0,20.33,0.34,0
20150727:0107,0,0,19.88,0.97,0
20150727:0207,0,0,16.59,1.86,0
20150727:0307,0,0,16.58,1.59,0
20150727:0407,123.38,13.05,18.59,0.76,0
20150727:0507,117.63,27.02,19.96,0.83,0
20150727:0607,324.49,41.12,22.13,1.86,0
20150727:0707,693.57,55.28,24.29,3.24,0
20150727:0807,644.17,69.38,25.5,4,0
20150727:0907,791.35,82.73,26.71,4.69,0
20150727:1007,855.06,80.47,27.27,4.97,0
20150727:1107,544.86,66.78,27.4,5.03,0
20150727:1207,634.35,52.65,27.2,4.83,0
20150727:1307,420.92,38.5,26.64,4.21,0
20150727:1407,224.88,24.42,24.71,2.97,0
20150727:1507,35.13,10.49,24.17,2,0
20150727:1607,0,0,23.06,1.45,0
20150727:1707,0,0,21.74,1.52,0
20150727:1807,0,0,20.52,1.72,0
20150727:1907,0,0,18.72,0.69,0
20150727:2007,0,0,18.55,0.48,0
20150727:2107,0,0,17.99,0.69,0
20150727:2207,0,0,16.99,0.9,0
20150727:2307,0,0,16.08,1.1,0
20150728:0007,0,0,15.03,1.17,0
20150728:0107,0,0,14.58,1.03,0
20150728:0207,0,0,14.7,0.97,0
20150728:0307,0,0,14.78,0.9,0
20150728:0407,130.53,13.01,15.32,0.9,0
20150728:0507,362.18,27,18.56,0.48,0
20150728:0607,581.73,41.11,21.52,0.9,0
20150728:0707,776.78,55.28,23.98,2.48,0
20150728:0807,868,69.42,25.71,3.38,0
20150728:0907,852.64,82.87,26.9,3.72,0
20150728:1007,848.35,80.56,27.36,3.86,0
20150728:1107,785.55,66.8,27.79,3.86,0
20150728:1207,534.54,52.65,27.82,3.79,0
20150728:1307,388.33,38.48,26.96,3.59,0
20150728:1407,64.16,24.39,26.14,2.9,0
20150728:1507,37.02,10.43,25.4,2.41,0
20150728:1607,0,0,23.8,1.31,0
20150728:1707,0,0,22.49,1.31,0
20150728:1807,0,0,20.91,1.59,0
20150728:1907,0,0,20.49,0.83,0
20150728:2007,0,0,20.41,0.28,0
20150728:2107,0,0,19.93,0.41,0
20150728:2207,0,0,19.64,0.62,0
20150728:2307,0,0,19.21,0.76,0
20150729:0007,0,0,18.85,0.76,0
20150729:0107,0,0,18.6,0.76,0
20150729:0207,0,0,18.32,0.83,0
20150729:0307,0,0,18.07,0.83,0
20150729:0407,125.7,12.97,18.07,0.76,0
20150729:0507,359.41,26.97,20.29,0.41,0
20150729:0607,556.07,41.1,22.99,1.72,0
20150729:0707,607.92,55.29,24.8,3.1,0
20150729:0807,838.53,69.45,26.15,3.66,0
20150729:0907,868.17,83,27.32,4,0
20150729:1007,845.43,80.65,28.08,4.14,0
20150729:1107,708.73,66.82,28.12,4.41,0
20150729:1207,397.06,52.64,27.38,3.79,0
20150729:1307,49.58,38.46,26.57,3.31,0
20150729:1407,43.75,24.35,23.69,2.41,0
20150729:1507,40.82,10.38,22.7,1.24,0
20150729:1607,0,0,21.55,1.31,0
20150729:1707,0,0,20.39,1.45,0
20150729:1807,0,0,19.56,1.17,0
20150729:1907,0,0,18.46,0.97,0
20150729:2007,0,0,18.23,0.48,0
20150729:2107,0,0,17.85,0.55,0
20150729:2207,0,0,17.64,0.28,0
20150729:2307,0,0,17.69,0.14,0
20150730:0007,0,0,17.66,0.14,0
20150730:0107,0,0,17.8,0.14,0
20150730:0207,0,0,17.59,0.28,0
20150730:0307,0,0,17.4,0.41,0
20150730:0407,131.2,12.93,17.59,0.48,0
20150730:0507,365.88,26.95,19.3,0.9,0
20150730:0607,602.38,41.09,21.37,2.21,0
20150730:0707,775.87,55.3,23.07,3.17,0
20150730:0807,866.12,69.49,24.41,3.72,0
20150730:0907,509.04,83.13,25.2,4.14,0
20150730:1007,302.26,80.73,25.94,4.48,0
20150730:1107,698.01,66.84,25.94,4.76,0
20150730:1207,639.82,52.64,25.13,4.14,0
20150730:1307,365.27,38.43,22.98,3.59,0
20150730:1407,207.79,24.31,21.34,2.48,0
20150730:1507,9.49,10.32,20.68,1.66,0
20150730:1607,0,0,19.79,1.59,0
20150730:1707,0,0,18.92,1.1,0
20150730:1807,0,0,18.42,0.69,0
20150730:1907,0,0,18.09,1.45,0
20150730:2007,0,0,17.47,1.17,0
20150730:2107,0,0,17.51,1.17,0
20150730:2207,0,0,17.85,1.31,0
20150730:2307,0,0,17.93,1.52,0
