time,G(i),H_sun,T2m,WS10m,Int
20100111:1907,0,0,14.78,2.55,0
20100111:2007,0,0,13.69,2.48,0
20100111:2107,0,0,12.8,2.48,0
20100111:2207,0,0,12.17,2.55,0
20100111:2307,0,0,11.63,2.55,0
20100112:0007,0,0,11.13,2.62,0
20100112:0107,0,0,10.66,2.69,0
20100112:0207,0,0,10.41,2.83,0
20100112:0307,0,0,10.02,2.9,0
20100112:0407,0,0,9.42,2.97,0
20100112:0507,355.78,15.24,10.96,2.76,0
20100112:0607,644.74,27.64,15.63,2.76,0
20100112:0707,863.6,38.81,19.44,3.31,0
20100112:0807,1051.42,47.77,22.04,3.66,0
20100112:0907,896.84,52.87,24.08,3.1,0
20100112:1007,1007.85,52.49,25.5,2.34,0
20100112:1107,889.31,46.77,26.32,1.66,0
20100112:1207,729.74,37.44,26.67,1.24,0
20100112:1307,506.95,26.06,26.56,0.97,0
20100112:1407,185.89,13.55,25.9,0.62,0
20100112:1507,0,0,24.18,0.14,0
20100112:1607,0,0,21.73,1.31,0
20100112:1707,0,0,18.83,2.28,0
20100112:1807,0,0,16.63,2.41,0
20100112:1907,0,0,15.25,2.48,0
20100112:2007,0,0,13.63,2.34,0
20100112:2107,0,0,12.61,2.34,0
20100112:2207,0,0,11.84,2.28,0
20100112:2307,0,0,11.19,2.21,0
20100113:0007,0,0,10.65,2.21,0
20100113:0107,0,0,10.18,2.21,0
20100113:0207,0,0,9.92,2.28,0
20100113:0307,0,0,9.73,2.28,0
20100113:0407,0,0,9.52,2.21,0
20100113:0507,388.72,15.23,11.61,1.79,0
20100113:0607,659.92,27.65,17.73,1.59,0
20100113:0707,863.97,38.86,21.42,1.1,0
20100113:0807,983.87,47.87,23.6,0.34,0
20100113:0907,1044.14,53.02,25.19,0.55,0
20100113:1007,1015.84,52.67,26.33,1.59,0
20100113:1107,908.01,46.96,26.96,2.55,0
20100113:1207,736.13,37.62,27.03,3.24,0
20100113:1307,505.37,26.22,26.54,3.52,0
20100113:1407,242.14,13.7,25.45,3.45,0
20100113:1507,0,0,23.49,2.55,0
20100113:1607,0,0,21.82,2.21,0
20100113:1707,0,0,20.44,1.93,0
20100113:1807,0,0,18.82,1.72,0
20100113:1907,0,0,16.93,1.72,0
20100113:2007,0,0,15.38,1.79,0
20100113:2107,0,0,14.25,1.72,0
20100113:2207,0,0,13.21,1.72,0
20100113:2307,0,0,12.57,1.66,0
20100114:0007,0,0,12.1,1.59,0
20100114:0107,0,0,11.71,1.59,0
20100114:0207,0,0,11.28,1.66,0
20100114:0307,0,0,10.91,1.72,0
20100114:0407,0,0,10.72,1.79,0
20100114:0507,301.17,15.22,12.85,1.24,0
20100114:0607,638.42,27.67,19.22,1.1,0
20100114:0707,713.93,38.91,22.14,1.24,0
20100114:0807,937.71,47.97,24.02,1.1,0
20100114:0907,1052.28,53.17,25.5,0.62,0
20100114:1007,997.83,52.86,26.55,0.69,0
20100114:1107,932.61,47.15,26.87,1.66,0
20100114:1207,743.6,37.79,27.08,2.21,0
20100114:1307,517.29,26.38,26.58,2.41,0
20100114:1407,238.52,13.84,25.86,2.41,0
20100114:1507,0,0,24.08,1.86,0
20100114:1607,0,0,22.24,1.86,0
20100114:1707,0,0,20.53,2,0
20100114:1807,0,0,18.84,1.93,0
20100114:1907,0,0,17.45,1.93,0
20100114:2007,0,0,16.05,2,0
20100114:2107,0,0,14.99,2,0
20100114:2207,0,0,14.13,2,0
20100114:2307,0,0,13.44,1.93,0
20100115:0007,0,0,12.84,1.93,0
20100115:0107,0,0,12.29,1.93,0
20100115:0207,0,0,11.78,1.93,0
20100115:0307,0,0,11.29,1.86,0
20100115:0407,0,0,10.88,1.93,0
20100115:0507,415.11,15.21,13,1.38,0
20100115:0607,701.07,27.69,19.46,1.24,0
20100115:0707,863.13,38.97,22.54,0.76,0
20100115:0807,991.49,48.08,24.57,0.41,0
20100115:0907,1011.11,53.33,26.16,1.03,0
20100115:1007,1031.42,53.05,27.24,1.86,0
20100115:1107,905.88,47.35,27.77,2.55,0
20100115:1207,745.78,37.97,27.76,2.97,0
20100115:1307,519.54,26.54,27.19,3.1,0
20100115:1407,256.93,13.99,26.25,2.97,0
20100115:1507,0,0,24.41,2.34,0
20100115:1607,0,0,22.55,2,0
20100115:1707,0,0,20.94,2,0
20100115:1807,0,0,19.29,1.79,0
20100115:1907,0,0,17.23,1.86,0
20100115:2007,0,0,15.57,1.93,0
20100115:2107,0,0,14.77,1.93,0
20100115:2207,0,0,13.75,1.93,0
20100115:2307,0,0,12.7,1.93,0
20100116:0007,0,0,12.48,1.86,0
20100116:0107,0,0,12.2,1.93,0
20100116:0207,0,0,11.86,1.93,0
20100116:0307,0,0,11.26,1.79,0
20100116:0407,0,0,10.93,1.86,0
20100116:0507,353.13,15.21,12.98,1.45,0
20100116:0607,636.85,27.72,19.32,1.31,0
20100116:0707,851.49,39.04,22.54,1.03,0
20100116:0807,991.48,48.19,24.68,0.48,0
20100116:0907,1054.55,53.5,26.18,0.48,0
20100116:1007,1033.54,53.25,27.38,1.52,0
20100116:1107,925.18,47.55,27.62,2.34,0
20100116:1207,757.05,38.16,27.7,2.69,0
20100116:1307,532.32,26.71,27.39,2.76,0
20100116:1407,265.9,14.13,26.55,2.62,0
20100116:1507,0,0,24.85,2.07,0
20100116:1607,0,0,22.97,1.86,0
20100116:1707,0,0,21.38,1.79,0
20100116:1807,0,0,19.62,1.72,0
20100116:1907,0,0,17.52,1.72,0
20100116:2007,0,0,16.15,1.79,0
20100116:2107,0,0,14.78,1.79,0
20100116:2207,0,0,13.62,1.79,0
20100116:2307,0,0,13.02,1.72,0
20100117:0007,0,0,12.57,1.79,0
20100117:0107,0,0,12.53,1.86,0
20100117:0207,0,0,12.64,1.86,0
20100117:0307,0,0,12.44,1.93,0
20100117:0407,0,0,12.17,1.93,0
20100117:0507,348.39,15.21,13.96,1.52,0
20100117:0607,637.05,27.75,19.61,1.52,0
20100117:0707,851.63,39.11,22.8,1.59,0
20100117:0807,992.71,48.31,24.92,1.31,0
20100117:0907,1055.59,53.68,26.48,0.69,0
20100117:1007,1027.93,53.46,27.55,0.9,0
20100117:1107,927.25,47.75,28,1.86,0
20100117:1207,759.08,38.34,28.08,2.55,0
20100117:1307,537.16,26.87,27.89,2.83,0
20100117:1407,262.38,14.28,26.94,2.76,0
20100117:1507,0,0,25.55,2.07,0
20100117:1607,0,0,23.69,1.93,0
20100117:1707,0,0,22.15,1.86,0
20100117:1807,0,0,20.27,1.79,0
20100117:1907,0,0,18.31,1.93,0
20100117:2007,0,0,16.77,2,0
20100117:2107,0,0,15.75,2.07,0
20100117:2207,0,0,15.1,2.21,0
20100117:2307,0,0,14.4,2.21,0
20100118:0007,0,0,13.89,2.14,0
20100118:0107,0,0,13.45,2.14,0
20100118:0207,0,0,13.1,2.14,0
20100118:0307,0,0,12.81,2.14,0
20100118:0407,0,0,12.5,2.07,0
20100118:0507,329.84,15.22,14.35,1.59,0
20100118:0607,636.25,27.78,20.26,1.52,0
20100118:0707,851.7,39.18,23.35,1.45,0
20100118:0807,992.59,48.44,25.42,0.9,0
20100118:0907,1063.45,53.86,26.97,0.97,0
20100118:1007,1036.56,53.67,28.05,1.52,0
20100118:1107,934.53,47.96,28.54,2.21,0
20100118:1207,761.07,38.53,28.78,2.76,0
20100118:1307,525.88,27.04,28.41,3.1,0
20100118:1407,269.45,14.43,27.4,2.97,0
20100118:1507,0,0,25.71,2.21,0
20100118:1607,0,0,23.84,2,0
20100118:1707,0,0,22.23,2,0
20100118:1807,0,0,20.51,1.79,0
20100118:1907,0,0,19.31,1.59,0
20100118:2007,0,0,17.67,1.72,0
20100118:2107,0,0,16.45,1.79,0
20100118:2207,0,0,15.27,1.72,0
20100118:2307,0,0,14.35,1.72,0
20100119:0007,0,0,14.02,1.79,0
20100119:0107,0,0,13.61,1.79,0
20100119:0207,0,0,13.38,1.66,0
20100119:0307,0,0,12.92,1.66,0
20100119:0407,0,0,12.62,1.66,0
20100119:0507,329.15,15.23,14.62,1.24,0
20100119:0607,626.06,27.82,20.63,1.1,0
20100119:0707,845.18,39.26,23.23,0.97,0
20100119:0807,993.69,48.57,25.01,0.9,0
20100119:0907,1057.51,54.04,26.2,0.69,0
20100119:1007,1037.45,53.89,26.68,0.55,0
20100119:1107,942.74,48.17,27.03,0.07,0
20100119:1207,763.01,38.72,26.98,0.28,0
20100119:1307,502.03,27.21,26.77,0.55,0
20100119:1407,238.25,14.57,26,0.69,0
20100119:1507,0,0,24.59,0.69,0
20100119:1607,0,0,22.91,0.83,0
20100119:1707,0,0,21.32,1.52,0
20100119:1807,0,0,19.75,1.79,0
20100119:1907,0,0,19.09,1.72,0
20100119:2007,0,0,18.25,1.72,0
20100119:2107,0,0,16.96,1.72,0
20100119:2207,0,0,16.24,1.72,0
20100119:2307,0,0,15.36,1.72,0
20100120:0007,0,0,15.04,1.52,0
20100120:0107,0,0,15.24,1.31,0
20100120:0207,0,0,15.08,1.24,0
20100120:0307,0,0,14.97,1.1,0
20100120:0407,0,0,14.91,1.1,0
20100120:0507,311.94,15.25,16.19,1.03,0
20100120:0607,605.32,27.87,19.36,0.9,0
20100120:0707,839.78,39.35,21.23,0.62,0
20100120:0807,987.42,48.71,23.09,0.83,0
20100120:0907,1058.39,54.24,24.25,1.66,0
20100120:1007,1026.19,54.12,25.11,2.28,0
20100120:1107,707.43,48.39,25.54,2.48,0
20100120:1207,515.56,38.92,24.82,2.69,0
20100120:1307,513.81,27.38,23.04,2.48,0
20100120:1407,263.41,14.72,22.57,2.55,0
20100120:1507,0,0,21.97,2.07,0
20100120:1607,0,0,20.35,1.45,0
20100120:1707,0,0,19.87,1.31,0
20100120:1807,0,0,18.65,1.1,0
20100120:1907,0,0,17.53,1.31,0
20100120:2007,0,0,16.45,1.45,0
20100120:2107,0,0,15.72,1.52,0
20100120:2207,0,0,15.24,1.59,0
20100120:2307,0,0,14.72,1.66,0
20100121:0007,0,0,14.57,1.79,0
20100121:0107,0,0,14.03,1.86,0
20100121:0207,0,0,13.56,1.79,0
20100121:0307,0,0,13.27,1.93,0
20100121:0407,0,0,12.95,1.93,0
20100121:0507,308.3,15.27,14.44,1.72,0
20100121:0607,548.73,27.92,18.84,1.52,0
20100121:0707,833.31,39.44,21.66,1.38,0
20100121:0807,988.42,48.85,23.54,1.31,0
20100121:0907,1060.43,54.44,24.75,0.62,0
20100121:1007,1047.82,54.35,25.45,1.1,0
20100121:1107,923.39,48.61,26.16,1.86,0
20100121:1207,766.73,39.11,26.05,2.21,0
20100121:1307,438.18,27.55,25.67,2.21,0
20100121:1407,195.96,14.87,23.72,2.34,0
20100121:1507,0,0,21.94,2.21,0
20100121:1607,0,0,20.5,1.45,0
20100121:1707,0,0,19.42,1.31,0
20100121:1807,0,0,18.58,1.38,0
20100121:1907,0,0,17.81,1.52,0
20100121:2007,0,0,17.15,1.52,0
20100121:2107,0,0,16.46,1.59,0
20100121:2207,0,0,15.6,1.59,0
20100121:2307,0,0,14.75,1.66,0
20100122:0007,0,0,14.13,1.72,0
20100122:0107,0,0,13.4,1.72,0
20100122:0207,0,0,13.2,1.86,0
20100122:0307,0,0,13.07,1.93,0
20100122:0407,0,0,12.94,2,0
20100122:0507,335.19,15.29,14.58,1.79,0
20100122:0607,630,27.98,18.52,1.93,0
20100122:0707,859.16,39.54,21.64,2.07,0
20100122:0807,996.52,49,23.37,2.21,0
20100122:0907,1061.19,54.65,24.78,1.59,0
20100122:1007,1043.12,54.58,25.6,0.83,0
20100122:1107,722.39,48.84,25.83,0.41,0
20100122:1207,57.36,39.31,26.02,0.69,0
20100122:1307,148,27.72,25.78,0.9,0
20100122:1407,19.44,15.02,24.15,0.9,0
20100122:1507,0,0,22.02,1.86,0
20100122:1607,0,0,20.11,1.45,0
20100122:1707,0,0,19.23,1.24,0
20100122:1807,0,0,18.55,1.45,0
20100122:1907,0,0,17.81,1.66,0
20100122:2007,0,0,16.93,1.59,0
20100122:2107,0,0,15.78,1.66,0
20100122:2207,0,0,15.04,1.79,0
20100122:2307,0,0,14.79,1.79,0
20100123:0007,0,0,14.35,1.86,0
20100123:0107,0,0,14.27,1.86,0
20100123:0207,0,0,14.15,1.86,0
20100123:0307,0,0,13.78,1.93,0
20100123:0407,0,0,13.33,2.07,0
20100123:0507,362.93,15.32,14.75,1.79,0
20100123:0607,655.61,28.04,18.82,1.86,0
20100123:0707,870.5,39.64,21.77,2,0
20100123:0807,1016.46,49.16,23.59,2.14,0
20100123:0907,1075.45,54.86,25.04,1.72,0
20100123:1007,1050.25,54.82,25.8,1.03,0
20100123:1107,927.05,49.06,26.25,0.34,0
20100123:1207,642.34,39.51,26.32,0.21,0
20100123:1307,39.86,27.89,25.73,0.41,0
20100123:1407,60.27,15.16,24.93,0.83,0
20100123:1507,0,0,23.73,1.59,0
20100123:1607,0,0,21.78,1.79,0
20100123:1707,0,0,20.3,1.66,0
20100123:1807,0,0,19.03,1.52,0
20100123:1907,0,0,18.7,1.59,0
20100123:2007,0,0,17.85,1.66,0
20100123:2107,0,0,17.3,1.72,0
20100123:2207,0,0,16.27,1.79,0
20100123:2307,0,0,16.22,1.79,0
20100124:0007,0,0,16.04,1.72,0
20100124:0107,0,0,15.95,1.79,0
20100124:0207,0,0,15.87,1.79,0
20100124:0307,0,0,15.81,1.86,0
20100124:0407,0,0,15.71,1.93,0
20100124:0507,348.24,15.35,16.51,1.93,0
20100124:0607,645.57,28.1,18.48,2.14,0
20100124:0707,865.08,39.74,21.81,2.83,0
20100124:0807,1004.2,49.32,23.75,2.76,0
20100124:0907,1070.52,55.08,25.24,2.07,0
20100124:1007,1051.99,55.07,25.96,1.38,0
20100124:1107,834.95,49.29,26.75,0.76,0
20100124:1207,402.35,39.71,26.67,0.76,0
20100124:1307,236.75,28.06,26.83,1.24,0
20100124:1407,31.11,15.31,25.95,1.1,0
20100124:1507,0,0,24.54,1.38,0
20100124:1607,0,0,22.82,1.79,0
20100124:1707,0,0,21.55,1.93,0
20100124:1807,0,0,20.42,1.86,0
20100124:1907,0,0,19.65,1.72,0
20100124:2007,0,0,18.58,1.79,0
20100124:2107,0,0,17.74,1.86,0
20100124:2207,0,0,16.87,1.72,0
20100124:2307,0,0,15.67,1.72,0
20100125:0007,0,0,15.43,1.79,0
20100125:0107,0,0,15.27,1.79,0
20100125:0207,0,0,14.89,1.86,0
20100125:0307,0,0,14.67,1.93,0
20100125:0407,0,0,14.61,2,0
20100125:0507,205.51,15.39,15.71,2.07,0
20100125:0607,645.51,28.17,18.73,2.41,0
20100125:0707,859.59,39.86,21.68,2.97,0
20100125:0807,1004.93,49.49,23.55,2.69,0
20100125:0907,1071.18,55.3,24.3,1.93,0
20100125:1007,963.04,55.32,24.97,1.1,0
20100125:1107,710.79,49.53,25.2,0.83,0
20100125:1207,180.82,39.91,25.02,1.03,0
20100125:1307,438.6,28.23,24.49,1.38,0
20100125:1407,24.3,15.46,23.21,2.21,0
20100125:1507,0,0,22.15,2.14,0
20100125:1607,0,0,20.97,1.79,0
20100125:1707,0,0,19.86,1.93,0
